DATE,year,quarter,REGN,BANK,Bank_Size,ROE,ROA,NIM,CIR,CAR,LTD,NPLR,Z-score,Z-score_RWA,loan_share,deposit_share,dep_to_assets,Leverage,Net_Profit_Margin,Asset_Turnover,Tax_Burder,Н1.0,Н2,Н3,Н4,Н7,sys_importance,SDN-list_2014,SSI-list_2014,SWIFT,SDN-list_2022,SANCTIONS_2014,SANCTIONS_2022,SANCTIONS,Bank_Size_LAG1,ROE_LAG1,ROA_LAG1,NIM_LAG1,CIR_LAG1,CAR_LAG1,LTD_LAG1,NPLR_LAG1,Z-score_LAG1,Z-score_RWA_LAG1,loan_share_LAG1,deposit_share_LAG1,dep_to_assets_LAG1,Leverage_LAG1,Net_Profit_Margin_LAG1,Asset_Turnover_LAG1,Tax_Burder_LAG1,Н1.0_LAG1,Н2_LAG1,Н3_LAG1,Н4_LAG1,Н7_LAG1,SDN-list_2014_LAG1,SSI-list_2014_LAG1,SWIFT_LAG1,SDN-list_2022_LAG1,SANCTIONS_2014_LAG1,SANCTIONS_2022_LAG1,SANCTIONS_LAG1,quarter_2,quarter_3,quarter_4
2019-04-01,2019,1,1,ЮНИКРЕДИТ БАНК,22.137075275216908,0.4732051847011946,0.0250451136409226,0.006125563822649,1.0177425601116357,5.292654106640305,1.0651564404221994,4.2149413209898565,2.43718980712784,7.557661350375975,19.95958240422638,0.1873863936485699,18.738639364857,18.89411210049365,0.3487864092336337,7.180644938532055,62.97507176606282,16.465,147.949,252.017,47.044,178.822,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.32665062794979,9.38085863008446,0.4101747583000649,0.0339590233461423,1.006646584548211,4.37246497868151,1.117527914348474,3.679456386506194,2.1919631658895566,7.589344613824021,17.720477977420394,0.1585685489364402,15.85685489364402,22.870394728731345,1.47229699676329,27.85951198717355,83.76867353709115,16.149,191.101,222.584,52.352,192.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
2019-07-01,2019,2,1,ЮНИКРЕДИТ БАНК,22.18556070442545,1.6305558736007804,0.0795299657325034,0.0152755891669627,1.01651541853176,4.877475652329305,1.0530816621610408,4.3616191764107946,2.2718779430282936,7.73479377233291,18.34169650843038,0.1741716446831974,17.417164468319747,20.50240885410543,0.6496828142934042,12.241352854469506,50.209290953116046,16.797,157.503,264.193,48.025,169.076,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.137075275216908,0.4732051847011946,0.0250451136409226,0.006125563822649,1.0177425601116357,5.292654106640305,1.0651564404221994,4.2149413209898565,2.43718980712784,7.557661350375975,19.95958240422638,0.1873863936485699,18.738639364857,18.89411210049365,0.3487864092336337,7.180644938532055,62.97507176606282,16.465,147.949,252.017,47.044,178.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
2019-10-01,2019,3,1,ЮНИКРЕДИТ БАНК,22.27567971636988,3.469578928550788,0.1593479170206336,0.0248086743240293,1.0168362535301894,4.592716300798837,1.0463050567686591,3.960000479430742,2.177949898015113,7.784208528794245,17.208098156706335,0.1644654018002236,16.446540180022364,21.77360704439907,0.9696375176745934,16.4337614949951,63.69227936005194,16.825,128.49,263.839,49.563,153.054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.18556070442545,1.6305558736007804,0.0795299657325034,0.0152755891669627,1.01651541853176,4.877475652329305,1.0530816621610408,4.3616191764107946,2.2718779430282936,7.73479377233291,18.34169650843038,0.1741716446831974,17.417164468319747,20.50240885410543,0.6496828142934042,12.241352854469506,50.209290953116046,16.797,157.503,264.193,48.025,169.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False
2020-01-01,2019,4,1,ЮНИКРЕДИТ БАНК,22.310409134937963,4.11176801029056,0.1842752674982875,0.0341626195474741,1.0189428793932347,4.481655264526113,1.166131496285062,3.6909018590809937,2.138473400309213,8.260824492531201,15.25925545820955,0.1308536430653049,13.085364306530495,22.31318432533965,0.9208382880985396,20.01168607778047,67.42977813235639,17.84,196.388,307.083,44.407,135.661,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.27567971636988,3.469578928550788,0.1593479170206336,0.0248086743240293,1.0168362535301894,4.592716300798837,1.0463050567686591,3.960000479430742,2.177949898015113,7.784208528794245,17.208098156706335,0.1644654018002236,16.446540180022364,21.77360704439907,0.9696375176745934,16.4337614949951,63.69227936005194,16.825,128.49,263.839,49.563,153.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True
2020-04-01,2020,1,1,ЮНИКРЕДИТ БАНК,22.34486729856507,2.617793126737393,0.1024342079862168,0.00607112072991,0.9971675507730858,3.912998584188456,0.9345696811555478,3.4773992920994234,1.840339490238682,6.8488239041965615,16.558007801617165,0.1771725333647035,17.717253336470357,25.555848756009635,0.7802442577560164,13.12847957136113,72.4812015989406,14.841,186.645,202.931,51.488,160.134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.310409134937963,4.11176801029056,0.1842752674982875,0.0341626195474741,1.0189428793932347,4.481655264526113,1.166131496285062,3.6909018590809937,2.138473400309213,8.260824492531201,15.25925545820955,0.1308536430653049,13.085364306530495,22.31318432533965,0.9208382880985396,20.01168607778047,67.42977813235639,17.84,196.388,307.083,44.407,135.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
2020-07-01,2020,2,1,ЮНИКРЕДИТ БАНК,22.41340322902442,1.3900075722350382,0.0513337881791206,0.0107314561063589,1.0015525386215345,3.693058167775257,0.953331357393014,4.330162783363658,1.7161169767064903,7.801618083973533,13.68091917063928,0.1435064425872994,14.350644258729943,27.077829662304296,0.2723670178306689,18.847285030317053,37.17811296431103,16.971,226.102,268.706,47.139,119.411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.34486729856507,2.617793126737393,0.1024342079862168,0.00607112072991,0.9971675507730858,3.912998584188456,0.9345696811555478,3.4773992920994234,1.840339490238682,6.8488239041965615,16.558007801617165,0.1771725333647035,17.717253336470357,25.555848756009635,0.7802442577560164,13.12847957136113,72.4812015989406,14.841,186.645,202.931,51.488,160.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
2020-10-01,2020,3,1,ЮНИКРЕДИТ БАНК,22.491276167356045,3.452387470875151,0.1162949840402313,0.0184180763262993,1.003913586987894,3.3685380051142264,1.065499011114024,4.778839677001288,1.5971567944869438,7.725061427799851,11.96336595760139,0.1122794656101387,11.227946561013876,29.68646927782221,0.4798742306043668,24.234471580973665,70.20801402936833,16.739,158.813,340.291,46.295,131.536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.41340322902442,1.3900075722350382,0.0513337881791206,0.0107314561063589,1.0015525386215345,3.693058167775257,0.953331357393014,4.330162783363658,1.7161169767064903,7.801618083973533,13.68091917063928,0.1435064425872994,14.350644258729943,27.077829662304296,0.2723670178306689,18.847285030317053,37.17811296431103,16.971,226.102,268.706,47.139,119.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False
2022-01-01,2021,4,1,ЮНИКРЕДИТ БАНК,22.533432844282835,7.126719118466313,0.2463623957902525,0.0476577375584657,1.0201572624985675,3.456883759483288,1.218295308140945,2.0654290968716267,1.69725917338377,9.025336507608904,11.237239501432278,0.0922374027572979,9.223740275729794,28.927787845243405,1.5346209300465803,16.053631940415062,78.96554974021342,19.446,236.753,331.185,44.625,114.434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.491276167356045,3.452387470875151,0.1162949840402313,0.0184180763262993,1.003913586987894,3.3685380051142264,1.065499011114024,4.778839677001288,1.5971567944869438,7.725061427799851,11.96336595760139,0.1122794656101387,11.227946561013876,29.68646927782221,0.4798742306043668,24.234471580973665,70.20801402936833,16.739,158.813,340.291,46.295,131.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True
2023-07-01,2023,2,1,ЮНИКРЕДИТ БАНК,22.6421899982214,6.484180028562865,0.2756533901478631,0.0543297797390555,1.0201371322764583,4.251168057234804,1.5611085660887158,6.296794546757717,2.074717398112875,18.8421530526772,5.849977154683579,0.0374732243596639,3.7473224359664,23.52294678866343,1.5149888282843729,15.873663245542728,77.5519960466703,40.836,156.6,338.194,18.763,113.94804651162792,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.533432844282835,7.126719118466313,0.2463623957902525,0.0476577375584657,1.0201572624985675,3.456883759483288,1.218295308140945,2.0654290968716267,1.69725917338377,9.025336507608904,11.237239501432278,0.0922374027572979,9.223740275729794,28.927787845243405,1.5346209300465803,16.053631940415062,78.96554974021342,19.446,236.753,331.185,44.625,114.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
2019-04-01,2019,1,2,ВИКИНГ,14.842906075541396,11.97411076295139,3.7970777942429255,0.1642900768806157,1.148786439239447,31.710728833336915,1.90000558293854,0.471295174970039,16.27381707791049,20.05551159469356,34.10812590826765,0.1795159246612117,17.95159246612117,3.15350683125491,16.586560261177112,22.892496903836378,100.0,39.962,100.72310344827586,162.075,15.598275862068965,47.44586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.542269354834888,2.6480089601421777,0.407050297550815,0.0814572882958897,1.0170076659902374,15.371938074143058,1.67494554730299,1.0425262630851824,7.231772244584988,17.69058535526396,15.345899376440778,0.091620288200717,9.16202882007171,6.505360580928226,0.6727680055688705,60.503813228547735,92.00032159511176,38.192,100.72310344827586,159.786,15.598275862068965,47.44586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
